title,description,place,url
A.D.E.R.E. - Asociación de Entes Reguladores Eléctricos,A.D.E.R.E. - Asociación de Entes Reguladores Eléctricos, argentina,http://www.adere.org.ar/adere
Africa Open Data,"The Open Africa Platform initiative aims to be largest repository of Data on the African continent - a Library of Congress of Data for African for use by citizens, media, activists, governments and civil society. It is part of the Ujuzi Initiative which is created and funded by the Africa Media Initiative (AMI), the World Bank Institute (WBI) and Google.", Africa,http://africaopendata.org/
Alagoas em Dados e Informações,"Alagoas em Dados e Informações provides data and information about Alagoas State in Brazil like socioeconomic statistics, maps, geographic information (vectors, group points), satellite images, and a lot of documents about economy and society in Alagoas as publications, development plans and another kind of researches."," Alagoas, Brazil",http://dados.al.gov.br/
Alberta Open Government Portal,," Alberta, Canada",https://open.alberta.ca/
Amsterdam Open Data.nl,CKAN catalogue (combined with Liferay Front-end) for Open Data in the City of Amsterdam.," Amsterdam, The Netherlands",http://www.amsterdamopendata.nl/
Annuario statistico del Comune di Firenze,"L’Annuario in questa nuova veste va ad affiancarsi alla pubblicazione del Bollettino mensile di statistica che propone oltre a focus demografici diversi ogni mese, il punto sull’andamento dei prezzi al consumo e sull’andamento meteorologico, oltre alla pubblicazione dei report completi delle numerose ricerche e indagini che l’ufficio continua a produrre. 

http://annuario.comune.fi.it/about", Italy,http://annuario.comune.fi.it/
AQUACROSS Information Platform,"The AQUACROSS Information Platform seeks to advance the application of ecosystem-based management for aquatic ecosystems in an effort to support the timely achievement of the EU 2020 Biodiversity Strategy and other international conservation targets.

This platform aims to provide open access to a wide range of resources related to aquatic (freshwater, marine and coastal) ecosystem and biodiversity management at the European level. The primary focus is on data used in the various project Case Studies, resulting maps, model outputs and tools.", ,http://dataportal.aquacross.eu/
Aragón Open Data,Aragón Open Data provides data held by the Spanish region of Aragón. It is published by the Aragón government and went live in February 2013.," Aragón, Spain",http://opendata.aragon.es/
Arenys de Munt Govern Obert,This is the Open Data site of Arenys de Munt city Council. It went live in June 2015, Arenys de Munt,http://go.arenysdemunt.cat/ca/dataset
Ayuntamiento de Santander,"datos.santander.es is the open data repository of the City of Santander. Santander is a Local Government, located in Cantabria Province of Spain. With around 175.000 citizens, this city is located in the North of the Country.

With almost 60 datasets, and more then 900 resources, Santander Catalog is actually giving service to entrepreneurs, startups, researchers, students, governments, and so on... The catalogo is growing constantly, and its main feature is the real time data focus. Visit the portal to learn more.
", Santander,http://datos.santander.es/
