domain,count
co-clinton-oh.data.socrata.com,0
data.permits.performance.gov,86
data.auburnwa.gov,77
datapoints.dallascityhall.com,341
data.ct.gov,1256
noaa-fisheries-garfo.data.socrata.com,7
opengov.cityofdubuque.org,216
tni.princegeorgescountymd.gov,0
data.naperville.il.us,282
dubuque.data.socrata.com,6
ontario.demo.socrata.com,15
cityofindianwells.data.socrata.com,3
bronx.lehman.cuny.edu,762
data.cityofgainesville.org,258
data.nashville.gov,144
cityofyorbalinda.data.socrata.com,1
ita.data.commerce.gov,31
opendata.fcc.gov,99
data.kcmo.org,1559
performance.princegeorgescountymd.gov,523
www.data.va.gov,0
ntis.data.commerce.gov,1
policeview.johnscreekga.gov,76
information.stpaul.gov,153
www.data.act.gov.au,1038
fontana.data.socrata.com,0
hartstat.hartford.gov,0
data.cityofchicago.org,1489
data.colorado.gov,1796
norfolk-performance.demo.socrata.com,9
midashboard-staging-sandbox.demo.socrata.com,23
data.ohiocourtofclaims.gov,29
bcnv-internal.data.socrata.com,0
data.novascotia.ca,926
opendata.mass-cannabis-control.com,43
va-drpt.data.socrata.com,227
johnstonia.data.socrata.com,6
internal.agtransport.usda.gov,239
data.countyofriverside.us,50
sharefulton.fultoncountyga.gov,748
cityofsunprairie.data.socrata.com,0
www.dallasopendata.com,1069
grovecityoh.data.socrata.com,2
nassaucountycircuitcourt.data.socrata.com,8
data.livewellsd.org,240
austin-aph.data.socrata.com,0
internal.chattadata.org,511
opendata.utah.gov,7735
data.cincinnati-oh.gov,155
healthdata.nj.gov,277
radnortownship.data.socrata.com,1
douglasco.data.socrata.com,11
mansfieldma.data.socrata.com,2
ogunquit.data.socrata.com,4
opendata.ramseycounty.us,598
www.pivcide.pr,70
citydata.mesaaz.gov,708
performance.cityofrc.us,108
capegirardeau.data.socrata.com,2
highways.hidot.hawaii.gov,291
hicscdata.hawaii.gov,66
sbcounty-health-op-beta.demo.socrata.com,8
sfgov-scgc.demo.socrata.com,0
data.cityofgp.com,104
stat.cityofgainesville.org,799
dashboard.edmonton.ca,292
townofblufftonsc.data.socrata.com,5
hallandalebeachfl.data.socrata.com,1
encinitasca-internal.data.socrata.com,0
performance.providenceri.gov,39
data.providenceri.gov,297
beta.healthdata.gov,5
data.energystar.gov,117
data.norfolk.gov,95
cityofchesapeake.data.socrata.com,8
dashboarddata.caloes.ca.gov,30
data.sccgov.org,184
cityofchicago-v2.demo.socrata.com,8
data.cityoftacoma.org,371
michigan-data.demo.socrata.com,36
cityoflaramie.data.socrata.com,2
dovernh.data.socrata.com,2
opendata.maryland.gov,1639
data.oregon.gov,2231
data.tompsc.com,34
datacatalog.cookcountyil.gov,638
data.iowa.gov,18
ascensionparishla.data.socrata.com,5
data.mo.gov,307
como.data.socrata.com,6
opelika-al.data.socrata.com,0
performance.austintexas.gov,49
lacoso.data.socrata.com,8
cityofinverness.data.socrata.com,0
data.ojp.usdoj.gov,1
data.sfgov.org,1092
hidot-contracts.data.socrata.com,11
townofmiamilakes.data.socrata.com,13
metroairports.data.socrata.com,38
data.fortworthtexas.gov,12
morrisvillenc.data.socrata.com,0
data.montgomerycountymd.gov,858
dashboard.plano.gov,133
eda.data.commerce.gov,1
woburnma.data.socrata.com,3
albanycountyny.data.socrata.com,2
data.sonomacounty.ca.gov,222
centennialco.data.socrata.com,9
data.macoupincountyil.gov,45
data.montgomeryschoolsmd.org,246
mydata.iadb.org,102
data.debtwatch.treasurer.ca.gov,144
data.sustainablesm.org,163
vusd.data.socrata.com,0
bloomington.data.socrata.com,6
data.wa.gov,2960
beaufortcountysc.data.socrata.com,2
michigan.data.socrata.com,0
usvi.data.socrata.com,3
data.marincounty.org,358
marysvillewa.data.socrata.com,10
data.qac.org,63
doralfl.data.socrata.com,5
transparencyarchive.michigan.gov,279
cityofsitka.data.socrata.com,0
usac-scgc.data.socrata.com,0
data.hampton.gov,42
lafourchegov.data.socrata.com,5
performance.carson.org,22
gnb.socrata.com,248
ormondbeach.data.socrata.com,0
austin-internal.data.socrata.com,1
bronx-lehman-cuny-staging.data.socrata.com,1
atlanta.data.socrata.com,4
data.brla.gov,223
covid19.buffalony.gov,1
covid19response.buffalony.gov,72
cravenso.data.socrata.com,0
opendata.cityofhenderson.com,19
williamsoncountyschools.data.socrata.com,9
newportbeachca.data.socrata.com,53
open.piercecountywa.gov,251
mbda.data.commerce.gov,0
mi-treasury.data.socrata.com,85
esa.data.commerce.gov,0
cityofnampa.data.socrata.com,0
nasa-test-0.demo.socrata.com,31170
performance.smcgov.org,2313
ca-sco.demo.socrata.com,36
perspectives.dnrec.delaware.gov,46
costamesaca.data.socrata.com,0
data.alaska.gov,29
idahosupremecourt-internal.data.socrata.com,99
ntia.data.commerce.gov,31
franklincountyohio.data.socrata.com,5
data.usaid.gov,1371
data.littlerock.gov,138
www.opendatanyc.com,6
data.memphistn.gov,210
data.medicare.gov,155
data.oxnard.org,23
ccsd.data.socrata.com,1
opendata.howardcountymd.gov,170
effinghamil.data.socrata.com,0
bellevue.data.socrata.com,122
coconinocountyaz.data.socrata.com,3
data.seattle.gov,1026
data.greensboro-nc.gov,52
bloomfieldct.data.socrata.com,2
agtransport.usda.gov,3
opendata.cityofmesquite.com,5
lawrencevillega.data.socrata.com,1
isc-v2.data.socrata.com,50
www.chattadata.org,204
georgetowndividepud.data.socrata.com,0
rivierabch.data.socrata.com,0
dcsheriff.data.socrata.com,5
noaa-fisheries-hq.data.socrata.com,35
data.culvercity.org,49
data.montgomeryal.gov,153
data.richmondgov.com,89
stat.montgomerycountymd.gov,5400
newtoncountyga.data.socrata.com,1
performance.fultoncountyga.gov,668
datahub.smcgov.org,1424
data.orcities.org,78
celebratingcities.data.socrata.com,92
datadiscovery.nlm.nih.gov,24
buffalogroveil.data.socrata.com,0
moreheadcitync.data.socrata.com,1
data.transportation.gov,4
generalitatdecatalunya-scgc.demo.socrata.com,0
conyersga.data.socrata.com,5
data.cityofevanston.org,368
courtdata.idaho.gov,0
data.tuscaloosa.com,14
pennsylvania.demo.socrata.com,14
corstat.coronaca.gov,180
data.delaware.gov,289
fwisd.data.socrata.com,2
data.readingpa.gov,55
capecoral.data.socrata.com,3
cityofalbany.data.socrata.com,5
redmond-demo.demo.socrata.com,2
stutsman.data.socrata.com,16
unioncountyoh.data.socrata.com,2
beaufortcountyschools.data.socrata.com,4
texas-scgc2.demo.socrata.com,1
bcnv.data.socrata.com,14
wsac.demo.socrata.com,9
auditor-ca.demo.socrata.com,33
performance.cookcountyil.gov,42
fiscalfocus.pittsburghpa.gov,20
data.muni.org,82
mtdesert.data.socrata.com,8
noaa.data.commerce.gov,18
moreno-valley.data.socrata.com,1
delawarestate.data.socrata.com,0
data.winnipeg.ca,917
parkeronline.data.socrata.com,43
statmo.data.socrata.com,440
data.exim.gov,4
palmcoastfl.data.socrata.com,2
priv-data.ojp.usdoj.gov,50
corvallisoregon-internal.data.socrata.com,1
data.bayareametro.gov,341
calgary.data.socrata.com,0
internal.open.piercecountywa.gov,2086
seattleperformance.demo.socrata.com,3
bentoncounty.data.socrata.com,2
newportbeachca-odp.data.socrata.com,0
kc-performance.demo.socrata.com,16
cityoffairfaxpd.data.socrata.com,2
data.americorps.gov,996
texas-scgc3.demo.socrata.com,0
www.datahub.va.gov,2075
annapolismd.data.socrata.com,1
vdh-richmondcity.demo.socrata.com,16
www.transparentrichmond.org,440
stlouiscounty-performance.demo.socrata.com,4
data.strathcona.ca,349
jcps.data.socrata.com,4
data.austintexas.gov,3047
iop.data.socrata.com,5
scarboroughmaine.data.socrata.com,0
cityoftracyca.data.socrata.com,0
woodburycountyia.data.socrata.com,0
yorkcountyva.data.socrata.com,2
clemsonsc.data.socrata.com,0
idp.nz,100
stat.stpete.org,587
data.pa.gov,431
westgoshenpa.data.socrata.com,1
hobbsnm.data.socrata.com,2
data.cstx.gov,56
westdesmoines.data.socrata.com,0
uspto.data.commerce.gov,67
mischooldata.data.socrata.com,49
internal-portlandme.data.socrata.com,0
mydata.iowa.gov,1587
data.coloradosprings.gov,58
clatsop.data.socrata.com,7
noaa-fisheries.data.socrata.com,3
controllerdata.lacity.org,588
data.sandiegocounty.gov,35
fortlauderdale.data.socrata.com,194
austin-metro.demo.socrata.com,64
noaa-fisheries-swfsc.data.socrata.com,134
hagerstownmd.data.socrata.com,4
data.oce.pr.gov,73
casagrandeaz.data.socrata.com,3
data.healthcare.gov,294
opennassau.nassaucountyny.gov,114
cookcounty.data.socrata.com,111
data.framinghamma.gov,46
mobileal.data.socrata.com,3
laramiecounty.data.socrata.com,5
midashboard-staging.demo.socrata.com,8
data.kingcounty.gov,543
data.nj.gov,498
healthstat.dph.sbcounty.gov,227
data.vermont.gov,267
data.cityofnewyork.us,3089
pip.nashville.gov,0
checkbooknyc.socrata.com,37
data.lacity.org,1645
austin-energy.data.socrata.com,8
kingcounty-op-beta.demo.socrata.com,0
data.douglas.co.us,13
opendata.clermontauditor.org,32
dashboard.hawaii.gov,1090
data.buffalony.gov,226
andoverma.data.socrata.com,1
austintexas-op-beta.demo.socrata.com,13
performance.cityofhenderson.com,120
rrps.data.socrata.com,4
cityoffairbanks.data.socrata.com,0
census.data.commerce.gov,212
performance-archive.cookcountyil.gov,279
data.hawaii.gov,1314
college-station-tx.demo.socrata.com,0
wccusd.data.socrata.com,4
data.ramseycounty.us,378
stpetersburg-op-beta.demo.socrata.com,0
newcastle-internal.data.socrata.com,0
baycountymi.data.socrata.com,10
oaisd.data.socrata.com,0
openpaymentsdata.cms.gov,25
cthru.data.socrata.com,722
performance.cityofcamas.us,414
alexandercountync.data.socrata.com,5
townofdennis.data.socrata.com,0
data.medicaid.gov,3612
performance.ci.janesville.wi.us,210
data.lacounty.gov,607
sanbernardino-covid-19-response.data.socrata.com,4
mcala.data.socrata.com,0
jerseyvillagetx.data.socrata.com,10
data.weho.org,86
northbayvillagefl.data.socrata.com,20
internal-ct.data.socrata.com,1
data.roseville.ca.us,41
cutlerbay-fl.data.socrata.com,1
usc.data.socrata.com,471
data.albanyny.gov,54
data.smcgov.org,50
data.edd.ca.gov,492
plymouth-ma.data.socrata.com,6
albany.data.socrata.com,5
data.calgary.ca,778
sidneyoh.data.socrata.com,2
performance.cityofdavenportiowa.com,82
newcastle.data.socrata.com,3
data.everettwa.gov,222
austin-tara.data.socrata.com,6
data.redmond.gov,48
data.miamigov.com,13
missouricitytx.data.socrata.com,1
soquelcreekwdca.data.socrata.com,14
brec.data.socrata.com,0
insights.cincinnati-oh.gov,65
ethica-pr.data.socrata.com,0
garfieldcountyco.data.socrata.com,0
data.texas.gov,1258
data.baltimorecity.gov,2368
pinellasparkpd.data.socrata.com,6
caravanstudios.data.socrata.com,5
camden.demo.socrata.com,20
boulderco.data.socrata.com,4
murfreesboro.data.socrata.com,6
purcellville.data.socrata.com,8
ogdencity.data.socrata.com,6
orangecountync.data.socrata.com,0
performance.seattle.gov,1128
internal-columbusschools.data.socrata.com,0
healthstat-sbcounty-staging.data.socrata.com,1
www.datos.gov.co,10731
brookhavenga.data.socrata.com,3
shawneesheriff.data.socrata.com,18
data.datacenterresearch.org,46
performance.franklintn.gov,151
data.princegeorgescountymd.gov,77
data.nola.gov,240
lynnfieldma.data.socrata.com,4
data.bts.gov,207
data.edmonton.ca,2205
janesville.data.socrata.com,96
data.grandrapidsmi.gov,695
opendata.usac.org,34
cityofmonroeoh.data.socrata.com,3
data.cambridgema.gov,297
opendata.fcgov.com,215
data.fultoncountyga.gov,76
nyc-scgc.data.socrata.com,10
