domain,count,url,status_code
co-clinton-oh.data.socrata.com,0,https://co-clinton-oh.data.socrata.com/,200
data.permits.performance.gov,86,https://data.permits.performance.gov/,200
data.auburnwa.gov,77,https://data.auburnwa.gov/,200
datapoints.dallascityhall.com,341,https://datapoints.dallascityhall.com/,200
data.ct.gov,1256,https://data.ct.gov/,200
noaa-fisheries-garfo.data.socrata.com,7,https://noaa-fisheries-garfo.data.socrata.com/,200
opengov.cityofdubuque.org,216,https://opengov.cityofdubuque.org/,200
tni.princegeorgescountymd.gov,0,https://tni.princegeorgescountymd.gov/,200
data.naperville.il.us,282,https://data.naperville.il.us/,200
dubuque.data.socrata.com,6,https://dubuque.data.socrata.com/,200
ontario.demo.socrata.com,15,https://ontario.demo.socrata.com/,200
cityofindianwells.data.socrata.com,3,https://cityofindianwells.data.socrata.com/,200
bronx.lehman.cuny.edu,762,https://bronx.lehman.cuny.edu/,200
data.cityofgainesville.org,258,https://data.cityofgainesville.org/,200
data.nashville.gov,144,http://data.nashville.gov,0
cityofyorbalinda.data.socrata.com,1,https://cityofyorbalinda.data.socrata.com/,200
ita.data.commerce.gov,31,http://ita.data.commerce.gov,0
opendata.fcc.gov,99,https://opendata.fcc.gov/,200
data.kcmo.org,1559,https://data.kcmo.org/,200
performance.princegeorgescountymd.gov,523,https://performance.princegeorgescountymd.gov/,200
www.data.va.gov,0,http://www.data.va.gov,0
ntis.data.commerce.gov,1,https://ntis.data.commerce.gov/,200
policeview.johnscreekga.gov,76,https://policeview.johnscreekga.gov/,200
information.stpaul.gov,153,https://information.stpaul.gov/,200
www.data.act.gov.au,1038,https://www.data.act.gov.au/,200
fontana.data.socrata.com,0,https://fontana.data.socrata.com/,200
hartstat.hartford.gov,0,https://hartstat.hartford.gov/,200
data.cityofchicago.org,1489,https://data.cityofchicago.org/,200
data.colorado.gov,1796,https://data.colorado.gov/,200
norfolk-performance.demo.socrata.com,9,https://norfolk-performance.demo.socrata.com/,200
midashboard-staging-sandbox.demo.socrata.com,23,http://midashboard-staging-sandbox.demo.socrata.com,0
