,Unnamed: 0,name_dpo,title,url,author,publisher,issued,publisher_classification,description,tags,license_id,license_url,place,location,country,language,status,metadatacreated,generator,api_endpoint,api_type_dpo,full_metadata_download,status_code_dpo,name_wu,api_url,api_type_wu,status_code_wu
0,285,lwbin-data-hub,Lake Winnipeg Basin Information Network,http://130.179.67.140/,Claire Herbert,University of Manitoba,28/10/2014,Research,"The Lake Winnipeg Basin covers an area of almost 1 million square km, and is international - it contains portions of four (4) Canadian Provinces and four (4) US States. The Lake Winnipeg Basin Information Network provides a central open access point for data and data products to aid researchers, decision makers and citizens in answering questions about the shifting dynamics impacting the basin.",research lwbin international,Creative Commons - Attribution Share-alike,Also open Data Government of Canada Licence,International,"52.0719763,-97.7642087",CA,en,active,,,,,,200,LWBIN Data HUB,http://130.179.67.140/,CKAN,200
1,2,africa_open_data,Africa Open Data,http://africaopendata.org/,Africa Open Data,Africa Open Data,,,"Africa's largest central repository for Government, Civil Society, Corporate and Donor Agency Data.",ckan africa,,,Africa,"2.0000003,15.9999997",AF,en,active,2013-03-15T07:17:26.251Z,CKAN: 2.1.3,http://africaopendata.org/api/,,,200,africaopendata.org,http://africaopendata.org/,CKAN,200
2,36,bermuda_io,Bermuda.io,http://bermuda.io/,Louis Galipeau & Andrew Simons,Louis Galipeau & Andrew Simons,,,"Bermuda.io is part of a global trend toward open data, using technology to provide the public with greater access to information. At present, the website contains collections of key public Government documents covering at least twenty years.",atlantic,,,Bermuda,"32.3018217,-64.7603583",BM,en,active,2013-12-17T20:55:26.351Z,,,,,200,bermuda.io,http://bermuda.io/,CKAN,200
3,217,finland,Finnish national data catalogue (beta),http://beta.avoindata.fi/,Valtionkonttori,Valtionkonttori,,,"Beta version of the Finnish national data catalogue - production sitre expected Q4 / 2014

Launched 5.3.2014

see more: http://valtiokonttoriblogi.wordpress.com/2014/03/05/beta-avoindata-fi-on-nyt-julkaistu/",ctic finland level.national ckan,notspecified,,Finland,"63.2467777,25.9209164",FI,fi,active,2011-06-27T18:14:53.881Z,,,,,200,Avoindata.fi,https://www.betaavoindata.fi/data/fi/catalog.ttl,CKANDCAT,200
4,554,alagoas-em-dados-e-informacoes,Alagoas em dados e informações,http://dados.al.gov.br/,"State of Alagoas, Brazil","State of Alagoas, Brazil",,Government,"Open Data portal of the state of AL, in Brazil","local-government,br-AL,CKAN",,,"AL, Brazil","-9.6603, -36.6669",BR,pt,active,2018-09-12T10:58:52Z,CKAN,http://dados.al.gov.br/api/3,CKAN API,,200,dados.al.gov.br,http://dados.al.gov.br/,CKAN,200
5,122,dadosabertos-senado-gov-br,Portal de Dados Abertos do Senado Federal (Brazil),http://dadosabertos.senado.gov.br/,Senado Federal (Brazil),Senado Federal (Brazil),,,Open Data Portal for the Brazilian Federal Senate. Uses CKAN.,brazil ckan official senate,notspecified,,Brazil,"-8.4666145,-51.3333976",br,pt,active,2012-05-15T17:45:54.157Z,,,,,200,dadosabertos.senado.gov.br,http://dadosabertos.senado.gov.br/,CKAN,200
6,571,dados-abertos-legislativos-senado-federal,Dados Abertos Legislativos – Senado Federal,http://dadosabertos.senado.gov.br/,Brazilian Senate,Brazilian Senate,,Government,,CKAN,,,Brazil,"-10.57, -53.35",BR,pt,active,2018-09-12T10:58:52Z,CKAN,http://dadosabertos.senado.gov.br/api/3,CKAN API,,200,dadosabertos.senado.gov.br,http://dadosabertos.senado.gov.br/,CKAN,200
7,152,data-gov-bf,Data.gov.bf,http://data.gov.bf/,Teg-wende Idriss TINTO,Ministère du Développement de l’Économie Numérique et des Postes à travers l’Agence Nationale de Promotion des TIC (ANPTIC),05/06/2014,government,"The portal have been launched by the government to publish all their data. The BODI (Burkina Faso Open Data) team is on work with all the open data ecosystem to choose the appropriate licence for all, but currently, there are a legal mention that allow user to use the data for whatever he want",,other-at,,Burkina Faso,"12.2395,-1.5584094",bf,fr,active,,,,,,200,data.gov.bf,http://data.gov.bf/,CKAN,200
8,174,datagovgreece,Greece National Data Portal,http://data.gov.gr/,General Secretariat of the Greek Prime Minister,General Secretariat of the Greek Prime Minister,,,Launched september 2013 in English and Greek.,level.national eu-official,cc-by,,Greece,"39.000041,21.9999569",gr,en gr,active,2013-10-30T10:29:02.666Z,,,,,200,data.gov.gr,http://data.gov.gr/,CKAN,200
9,155,data-gov-ie,data.gov.ie,http://data.gov.ie/,Richard Cyganiak,Department of Public Expenditure and Reform,01/05/2014,Government,Data.gov.ie is a searchable directory of datasets that are published on the websites of Irish public sector bodies.,ireland national public sector,Other (Not Open),,Ireland,"53.4152431,-8.2390307",IE,en,active,,,,,,200,data.gov.ie,http://data.gov.ie/,CKAN,200
