name,url,api_url,api_type,status_code
data.qld.gov.au,https://data.qld.gov.au,https://data.qld.gov.au/catalog.ttl,CKANDCAT,200
bythenumbers.sco.ca.gov,http://bythenumbers.sco.ca.gov,http://bythenumbers.sco.ca.gov,Socrata,200
dados.gov.br,http://dados.gov.br,http://dados.gov.br/,CKAN,200
data.eindhoven.nl,http://data.eindhoven.nl,http://data.eindhoven.nl,OpenDataSoft,200
data.gv.at,http://data.gv.at,http://www.data.gv.at/katalog/,CKAN,200
data.ok.gov,http://data.ok.gov,https://data.ok.gov/,CKAN,200
data.salzburgerland.com,http://data.salzburgerland.com,http://data.salzburgerland.com/,CKAN,200
gisdata.mn.gov,http://gisdata.mn.gov,http://gisdata.mn.gov/,CKAN,200
iatiregistry.org,http://iatiregistry.org,http://iatiregistry.org/,CKAN,200
opendata.lisra.jp,http://opendata.lisra.jp,http://opendata.lisra.jp/,CKAN,200
portal.openbelgium.be,http://portal.openbelgium.be,http://portal.openbelgium.be/catalog.ttl,CKANDCAT,500
www.civicdata.io,http://www.civicdata.io,http://www.civicdata.io/,CKAN,200
govdata.de,https://govdata.de,https://www.govdata.de/ckan/,CKAN,200
data.wu.ac.at,http://data.wu.ac.at/,http://data.wu.ac.at/portal/,CKAN,200
LWBIN Data HUB,http://130.179.67.140/,http://130.179.67.140/,CKAN,200
abertos.xunta.gal,http://abertos.xunta.gal/,https://abertos.xunta.gal/busca-de-datos.rdf,XMLDCAT,200
africaopendata.org,http://africaopendata.org/,http://africaopendata.org/,CKAN,200
annuario.comune.fi.it,http://annuario.comune.fi.it/,http://annuario.comune.fi.it/,CKAN,200
bermuda.io,http://bermuda.io/,http://bermuda.io/,CKAN,200
Avoindata.fi,http://beta.avoindata.fi/,https://www.betaavoindata.fi/data/fi/catalog.ttl,CKANDCAT,200
catalogo.datosabiertos.gob.ec,http://catalogo.datosabiertos.gob.ec/,http://catalogo.datosabiertos.gob.ec/,CKAN,200
ckan.gsi.go.jp,http://ckan.gsi.go.jp/,http://ckan.gsi.go.jp/,CKAN,200
dados.al.gov.br,http://dados.al.gov.br/,http://dados.al.gov.br/,CKAN,200
dados.recife.pe.gov.br,http://dados.recife.pe.gov.br/,http://dados.recife.pe.gov.br/,CKAN,200
dadosabertos.senado.gov.br,http://dadosabertos.senado.gov.br/,http://dadosabertos.senado.gov.br/,CKAN,200
dartportal.leeds.ac.uk,http://dartportal.leeds.ac.uk/,http://dartportal.leeds.ac.uk/,CKAN,500
data.glasgow.gov.uk,http://data.glasgow.gov.uk/,http://data.glasgow.gov.uk/,CKAN,200
data.gov.au,http://data.gov.au/,http://data.gov.au/,CKAN,200
data.gov.bf,http://data.gov.bf/,http://data.gov.bf/,CKAN,200
